filename,hf_energy,label
calib_00_seed1000_a-commercial-jet-airline.png,0.468356,good
calib_01_seed1000_a-busy-modern-office-wit.png,0.543763,good
calib_02_seed1000_a-handshake-closing-a-bu.png,0.542346,good
calib_03_seed1000_a-financial-growth-chart.png,0.740258,good
calib_04_seed1000_a-shipping-port-with-cra.png,0.531801,good
calib_05_seed1000_a-server-room-with-rows.png,0.659479,good
calib_06_seed1000_a-robotic-arm-assembling.png,0.608586,good
calib_07_seed1000_a-smartphone-surrounded.png,0.555188,good
calib_08_seed1000_an-electric-vehicle-char.png,0.868392,good
calib_09_seed1000_a-satellite-orbiting-ear.png,0.609805,good
calib_10_seed1000_a-lush-green-forest-with.png,0.569017,bad
calib_11_seed1000_a-wind-farm-of-turbines.png,0.681710,good
calib_12_seed1000_a-mountain-lake-reflecti.png,0.577535,good
calib_13_seed1000_a-field-of-solar-panels.png,0.301333,good
calib_14_seed1000_ocean-waves-breaking-aga.png,0.372132,good
calib_15_seed1000_an-abstract-network-of-i.png,0.644849,good
calib_16_seed1000_a-flowing-abstract-compo.png,0.537624,good
calib_17_seed1000_concentric-ripples-sprea.png,0.813360,good
calib_18_seed1000_an-abstract-representati.png,0.882420,good
calib_19_seed1000_a-minimalist-geometric-p.png,0.702197,good
calib_20_seed1000_a-teacher-presenting-to.png,0.000000,good
calib_21_seed1000_a-doctor-reviewing-medic.png,0.902794,good
calib_22_seed1000_a-chef-plating-a-dish-in.png,0.000000,bad
calib_23_seed1000_a-researcher-examining-s.png,0.537662,bad
calib_24_seed1000_a-family-gathered-around.png,0.548975,good
calib_25_seed1001_a-commercial-jet-airline.png,0.501838,good
calib_26_seed1001_a-busy-modern-office-wit.png,0.538167,good
calib_27_seed1001_a-handshake-closing-a-bu.png,0.583793,good
calib_28_seed1001_a-financial-growth-chart.png,0.817145,good
calib_29_seed1001_a-shipping-port-with-cra.png,0.541784,bad
calib_30_seed1001_a-server-room-with-rows.png,0.643000,good
calib_31_seed1001_a-robotic-arm-assembling.png,0.542183,good
calib_32_seed1001_a-smartphone-surrounded.png,0.571118,good
calib_33_seed1001_an-electric-vehicle-char.png,0.589618,good
calib_34_seed1001_a-satellite-orbiting-ear.png,0.490396,good
calib_35_seed1001_a-lush-green-forest-with.png,0.613238,good
calib_36_seed1001_a-wind-farm-of-turbines.png,0.613381,good
calib_37_seed1001_a-mountain-lake-reflecti.png,0.426889,good
calib_38_seed1001_a-field-of-solar-panels.png,0.321175,good
calib_39_seed1001_ocean-waves-breaking-aga.png,0.460915,good
calib_40_seed1001_an-abstract-network-of-i.png,0.649495,good
calib_41_seed1001_a-flowing-abstract-compo.png,0.498270,good
calib_42_seed1001_concentric-ripples-sprea.png,0.552598,good
calib_43_seed1001_an-abstract-representati.png,0.668884,good
calib_44_seed1001_a-minimalist-geometric-p.png,0.650806,good
calib_45_seed1001_a-teacher-presenting-to.png,0.526814,good
calib_46_seed1001_a-doctor-reviewing-medic.png,0.602397,good
calib_47_seed1001_a-chef-plating-a-dish-in.png,0.480354,bad
calib_48_seed1001_a-researcher-examining-s.png,0.545645,bad
calib_49_seed1001_a-family-gathered-around.png,0.542727,good
